LATITUDE,LONGITUDE,RSRP_1,RSRP_2,RSRP_3,RSRP_4,RSRP_5,RSRP_6,RSRP_7,RSRP_8,RSRP_9,RSRP_10,RSRP_11,RSRP_12,RSRP_13,RSRP_14,RSRP_15,RSRP_16,RSRP_17,RSRP_18,RSRP_19,RSRP_20,RSRP_21,RSRP_22,RSRP_23,RSRP_24,RSRP_25,RSRP_26,RSRP_27,RSRP_28,RSRP_29,RSRP_30
647.7879848370503,696.2353128195379,-40.93547046327661,-67.17708377116297,-58.6087320293782,-57.28289928164013,-73.94076213876241,-56.49319590937663,-73.17555828183869,-41.9588204989155,-63.957162994728115,-61.03711317062027,-56.71220894650419,-68.69864243920854,-50.24336867604486,-68.59114608500273,-48.0639885040624,-55.82584603185999,-64.9489767183186,-50.60994226281827,-62.51309496261121,-65.13633330148645,-67.41990679220174,-57.288336552735565,-71.97959126239896,-67.7503197987479,-67.16176343243171,-69.83791269369145,-59.230744264282905,-47.11715586842556,-68.53595436313766,-62.517080969628154
124.28522771965318,193.9070465820163,-65.51617816564087,-56.12077230447302,-58.50756246703956,-71.35913226154506,-40.79507495295499,-62.48314362591242,-47.725766952475304,-66.91477107254795,-64.35872525392962,-75.41904466664005,-72.33371143756045,-41.2925073248592,-63.17966282105836,-70.21123308839684,-68.48087206659417,-58.214252114297686,-72.4685064983836,-59.460930365152485,-56.642991310267234,-42.713800766543606,-56.011087105042854,-64.04427106982745,-72.24961878044256,-68.6053903134889,-45.184007746470606,-63.43387940711186,-66.53750996617474,-65.8894619077703,-70.4199686169137,-66.51733232364997
197.37962989925293,132.58074712496062,-69.35788674624816,-62.30331760036647,-61.06338386861873,-72.08605419497191,-39.99999999999999,-61.88569698506117,-42.01327544641911,-62.24662529376804,-64.84041431197366,-76.02599301957537,-72.49300996343374,-39.99999999999999,-65.31169608865959,-65.15461687630078,-68.65642296696949,-62.81554157968696,-75.01424991497576,-62.07884410352246,-58.34277178770382,-41.10708621958964,-43.75157663618362,-61.445008939844875,-68.36896021129107,-69.81823178902779,-45.84845757957525,-66.773703024917,-65.72508765031088,-67.12298568015667,-70.8720981633332,-68.0590097051425
388.33374787752433,1028.5612417347118,-60.99559502523243,-62.23346814482492,-68.95701476397403,-71.69991441187238,-69.27162729205146,-67.50793356025696,-67.69564065888443,-63.47859401814998,-60.51872730528526,-63.8218061027979,-64.83497983249264,-73.46259119480722,-58.25796702555052,-68.19788518256519,-66.36503437385767,-64.35427905348376,-50.35064618741524,-68.14439389128283,-62.67413203538643,-67.8519660860591,-75.57538900642993,-68.65858940175694,-71.69418650642919,-55.12730331288495,-74.99067635172862,-50.857624743572636,-68.52989680998081,-64.75939847243474,-77.90599495298989,-76.49940572241893
16.827886155062732,827.9086050515149,-62.99597095244993,-53.117179500086785,-64.82782303123571,-76.06182629028469,-70.30861904382967,-76.93395285059258,-69.43658375637703,-67.08515744887463,-54.83875085224124,-70.01337444327643,-82.4282228048525,-67.29801573382048,-66.62013079074907,-73.35141922217822,-61.667097845062564,-64.37512734684627,-56.11312154960915,-61.98692049887015,-57.82435397282494,-61.4990482441541,-66.478074253463,-67.10872649081726,-75.50095752317159,-40.16353623365965,-66.18047948532339,-47.45878469162138,-73.92311541990003,-72.27570522568908,-80.01394453906582,-75.44263811085362
149.50147749222714,194.49509782686334,-69.25022845536024,-53.698171482403495,-62.10585535111011,-70.70712853337953,-42.62136902410931,-57.9740259392142,-45.87489215798363,-62.31634580360093,-61.40990374596582,-73.73636650540628,-70.8091614774645,-40.23644100422504,-61.976119244921115,-66.51223084483675,-64.00624923553933,-61.05728415800925,-73.85011143545192,-63.64248414925065,-58.6847366389845,-44.63244047885563,-54.96202772689553,-69.64976057247469,-70.9416868879024,-69.87667215085486,-51.8884675902606,-65.66987622030618,-69.5883590835953,-66.22119362971938,-70.13386757400563,-66.51099889571753
47.42982287713032,858.5236989940685,-68.94783186007305,-59.73489889339532,-71.82089646293332,-75.87230629324536,-64.00550464413897,-76.86942500153373,-68.18413517953519,-62.041835186299565,-54.37914503784929,-71.30964415230224,-75.15972473160534,-67.38789069269411,-57.68647575641641,-78.43905726094751,-63.11540336481108,-69.61370549518529,-49.46575060774756,-63.59551775583877,-60.644152767311844,-68.48578085198164,-71.71923868678387,-68.41371893411014,-76.78682291622843,-40.00000000000001,-71.04654410742617,-49.827783744323625,-71.42381052187308,-76.02840321983585,-75.82410484476792,-77.78755698849834
427.5325771900871,859.015745560543,-50.73739302266468,-65.68331985725794,-62.60445849005261,-58.49456199195832,-72.35112513909996,-63.060466176894636,-75.65042524250836,-49.514032972501994,-53.84709864051165,-65.278233241378,-67.13663688121764,-64.28838906984092,-51.79769928305747,-68.9210740556671,-50.03525426324875,-59.053401797467075,-53.50297269323224,-57.13567996759434,-58.71946338677778,-68.61925099050951,-72.14633312531302,-59.28313078519309,-75.38483944476202,-58.17666587729609,-71.96388860151939,-48.58394161491394,-63.08418633482531,-65.32180841051395,-72.1128847595378,-66.44772528316206
118.3766219189914,111.46450837234283,-70.87784994793545,-62.841756907643465,-59.49052413490011,-72.00137092104382,-40.03219895955022,-65.87802908725533,-43.787046470862556,-65.59973284145308,-62.43569158125775,-75.4845634050677,-75.48112379722748,-43.996310130291754,-63.672821339089616,-71.27126507650803,-64.93145420535606,-63.201951314408376,-70.59071170666599,-62.34847213870647,-60.24786555531284,-43.58748568926829,-49.58871787195432,-66.94003028056072,-73.40432652870567,-69.31774970717592,-41.9518628385402,-67.10935641481383,-69.33266606207677,-69.96825357724946,-71.47553143171942,-70.3509823340869
-1.375928488446332,855.6741874456691,-66.34811233735311,-58.66396270573773,-73.33769985000174,-74.62914312283947,-67.94233612975245,-68.29807057168563,-64.90147737830108,-66.9797435542104,-60.26763390025709,-75.53625544870849,-73.47512522227703,-66.69482012386794,-63.57933897613645,-75.11116176517618,-62.1418128528562,-65.8619512433921,-54.30840262736737,-69.95075968606592,-58.88781939627654,-69.3177669434984,-68.51259504720413,-68.35879907200156,-77.98397814853573,-40.00000000000001,-72.59985808019475,-50.43347822068367,-76.97721272572025,-62.48283330943357,-75.2890286995822,-75.18892110800341
